Identifiant Commande,Date de vente,Produit ID,Quantité vendue,Montant de la vente
CMD_5311,2026-06-27T19:49:00,PROD_008,2,704.18
CMD_5316,2026-06-28T19:14:00,PROD_010,2,110.9
CMD_5317,2026-06-28T12:18:00,PROD_008,1,352.09
CMD_5318,2026-06-28T08:28:00,PROD_007,2,813.24
CMD_5321,2026-06-28T19:50:00,PROD_008,3,1056.27
CMD_5323,2026-06-28T15:17:00,PROD_016,2,668.04
CMD_5324,2026-06-28T14:07:00,PROD_011,3,1275.81
CMD_5326,2026-06-28T18:05:00,PROD_013,3,1460.49
CMD_5328,2026-06-28T11:00:00,PROD_016,1,334.02
CMD_5329,2026-06-28T10:56:00,PROD_014,2,561.0
CMD_5330,2026-06-28T13:17:00,PROD_015,1,292.9
CMD_5331,2026-06-29T08:41:00,PROD_010,1,55.45
CMD_5337,2026-06-29T18:05:00,PROD_011,2,850.54
CMD_5339,2026-06-29T16:42:00,PROD_009,1,86.18
CMD_5340,2026-06-29T10:58:00,PROD_019,2,382.78
CMD_5346,2026-06-30T10:30:00,PROD_009,3,258.54
CMD_5350,2026-06-30T14:12:00,PROD_011,2,
CMD_5355,2026-06-30T12:10:00,PROD_005,3,855.03
CMD_5357,2026-06-30T19:18:00,PROD_020,3,1061.67
CMD_5359,2026-06-30T10:11:00,PROD_012,1,405.49
CMD_5360,2026-06-30T15:57:00,PROD_007,4,-1626.48
CMD_5361,2026-07-01T09:41:00,PROD_013,4,1947.32
CMD_5362,2026-07-01T20:33:00,PROD_002,1,78.37
CMD_5363,2026-07-01T10:55:00,PROD_012,3,1216.47
CMD_5364,2026-07-01T08:20:00,PROD_004,2,111.82
CMD_5365,2026-07-01T14:41:00,PROD_012,3,1216.47
CMD_5367,2026-07-01T12:28:00,PROD_012,4,1621.96
CMD_5370,2026-07-01T16:21:00,PROD_008,2,704.18
CMD_5372,2026-07-01T15:40:00,PROD_007,3,1219.86
CMD_5374,2026-07-01T09:27:00,PROD_015,4,1171.6
CMD_5375,2026-07-01T17:18:00,PROD_013,1,
CMD_5378,2026-07-02T20:05:00,PROD_018,3,438.63
CMD_5379,2026-07-02T13:55:00,PROD_006,4,472.08
CMD_5383,2026-07-02T20:03:00,PROD_019,1,191.39
CMD_5384,2026-07-02T13:39:00,PROD_018,2,292.42
CMD_5387,2026-07-02T12:02:00,PROD_008,4,1408.36
CMD_5388,2026-07-02T10:59:00,PROD_020,3,1061.67
CMD_5390,2026-07-02T17:27:00,PROD_010,2,110.9
CMD_5392,2026-07-03T18:29:00,PROD_009,4,344.72
CMD_5393,2026-07-03T20:10:00,PROD_009,1,86.18
CMD_5394,2026-07-03T18:48:00,PROD_015,2,585.8
CMD_5396,2026-07-03T18:01:00,PROD_005,1,285.01
CMD_5399,2026-07-03T18:31:00,PROD_003,1,299.34
CMD_5400,2026-07-03T19:52:00,PROD_010,1,
CMD_5401,2026-07-03T09:18:00,PROD_016,1,334.02
CMD_5404,2026-07-03T14:54:00,PROD_005,1,285.01
CMD_5409,2026-07-04T19:07:00,PROD_001,4,1493.44
CMD_5411,2026-07-04T15:50:00,PROD_008,3,1056.27
CMD_5415,2026-07-04T16:31:00,PROD_013,4,1947.32
CMD_5417,2026-07-04T09:39:00,PROD_010,1,55.45
CMD_5419,2026-07-04T15:46:00,PROD_004,1,55.91
CMD_5422,2026-07-05T16:18:00,PROD_009,4,344.72
CMD_5424,2026-07-05T17:48:00,PROD_004,1,55.91
CMD_5427,2026-07-05T19:23:00,PROD_014,1,280.5
CMD_5429,2026-07-05T20:57:00,PROD_010,3,166.35
CMD_5431,2026-07-05T16:00:00,PROD_019,2,382.78
CMD_5432,2026-07-05T08:16:00,PROD_014,4,1122.0
CMD_5435,2026-07-05T14:53:00,PROD_017,1,429.11
CMD_5436,2026-07-06T11:28:00,PROD_005,3,855.03
CMD_5441,2026-07-06T19:51:00,PROD_010,2,110.9
CMD_5446,2026-07-06T18:45:00,PROD_012,1,405.49
CMD_5449,2026-07-06T19:34:00,PROD_014,3,841.5
